Date,Bitcoin,^BSESN,^GSPC,^IXIC,^N225,^NSEI
2019-07-24,9763.28,37847.6484375,3019.56005859375,8321.5,21709.5703125,11271.2998046875
2019-07-25,9879.87,37830.98046875,3003.669921875,8238.5400390625,21756.55078125,11252.150390625
2019-07-26,9824.0,37882.7890625,3025.860107421875,8330.2099609375,21658.150390625,11284.2998046875
2019-07-29,9507.64,37686.37109375,3020.969970703125,8293.330078125,21616.80078125,11189.2001953125
2019-07-30,9574.21,37397.23828125,3013.179931640625,8273.6103515625,21709.310546875,11085.400390625
2019-07-31,10080.53,37481.12109375,2980.3798828125,8175.419921875,21521.529296875,11118.0
2019-08-01,10374.99,37018.3203125,2953.56005859375,8111.1201171875,21540.990234375,10980.0
2019-08-02,10523.75,37118.21875,2932.050048828125,8004.06982421875,21087.16015625,10997.349609375
2019-08-05,11828.8,36699.83984375,2844.739990234375,7726.0400390625,20720.2890625,10862.599609375
2019-08-06,11481.69,36976.8515625,2881.77001953125,7833.27001953125,20585.310546875,10948.25
2019-08-07,11975.03,36690.5,2883.97998046875,7862.830078125,20516.560546875,10855.5
2019-08-08,11999.77,37327.359375,2938.090087890625,8039.16015625,20593.349609375,11032.4501953125
2019-08-09,11879.99,37581.91015625,2918.64990234375,7959.14013671875,20684.8203125,11109.650390625
2019-08-13,10892.71,36958.16015625,2926.320068359375,8016.35986328125,20455.439453125,10925.849609375
2019-08-14,10050.37,37311.53125,2840.60009765625,7773.93994140625,20655.130859375,11029.400390625
2019-08-16,10331.54,37350.328125,2888.679931640625,7895.990234375,20418.810546875,11047.7998046875
2019-08-19,10915.54,37402.48828125,2923.64990234375,8002.81005859375,20563.16015625,11053.900390625
2019-08-20,10760.51,37328.01171875,2900.510009765625,7948.56005859375,20677.220703125,11017.0
2019-08-21,10142.57,37060.37109375,2924.429931640625,8020.2099609375,20618.5703125,10918.7001953125
2019-08-22,10099.88,36472.9296875,2922.949951171875,7991.39013671875,20628.009765625,10741.349609375
2019-08-23,10389.55,36701.16015625,2847.110107421875,7751.77001953125,20710.91015625,10829.349609375
2019-08-26,10372.25,37494.12109375,2878.3798828125,7853.740234375,20261.0390625,11057.849609375
2019-08-27,10185.05,37641.26953125,2869.159912109375,7826.9501953125,20456.080078125,11105.349609375
2019-08-28,9721.0,37451.83984375,2887.93994140625,7856.8798828125,20479.419921875,11046.099609375
2019-08-29,9498.44,37068.9296875,2924.580078125,7973.39013671875,20460.9296875,10948.2998046875
2019-08-30,9584.54,37332.7890625,2926.4599609375,7962.8798828125,20704.369140625,11023.25
2019-09-03,10615.28,36562.91015625,2906.27001953125,7874.16015625,20625.16015625,10797.900390625
2019-09-04,10567.02,36724.73828125,2937.780029296875,7976.8798828125,20649.140625,10844.650390625
